ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,L_meas__db,L_fs__db,L_excess__db
1073,39.99476239,-105.2621935,39.98759283,-105.2482019,8.37,3,3500,1.435843707,135.7603508,106.473758,29.28659281
1074,39.99476239,-105.2621935,39.98767545,-105.248185,8.37,3,3500,1.431979708,135.8206427,106.4503635,29.37027917
1075,39.99476239,-105.2621935,39.98775711,-105.2481683,8.37,3,3500,1.428209663,136.1818228,106.427479,29.75434377
1076,39.99476239,-105.2621935,39.98783517,-105.2481504,8.37,3,3500,1.424794726,135.585238,106.4066996,29.17853844
1077,39.99476239,-105.2621935,39.98797186,-105.2481152,8.37,3,3500,1.419203622,135.6300347,106.3725702,29.25746452
1078,39.99476239,-105.2621935,39.98802519,-105.2481015,8.37,3,3500,1.417062224,136.4578961,106.359464,30.09843213
1079,39.99476239,-105.2621935,39.98806772,-105.2480906,8.37,3,3500,1.415370601,134.5742098,106.3490956,28.22511417
1080,39.99476239,-105.2621935,39.98810625,-105.2480806,8.37,3,3500,1.413850202,134.3888641,106.3397664,28.04909769
1081,39.99476239,-105.2621935,39.98814124,-105.2480701,8.37,3,3500,1.412588783,133.3025527,106.3320203,26.97053238
1082,39.99476239,-105.2621935,39.98816009,-105.2480622,8.37,3,3500,1.412077025,135.5917505,106.3288766,29.26287386
1083,39.99476239,-105.2621935,39.9881697,-105.2480582,8.37,3,3500,1.411817454,134.9256278,106.3272821,28.59834568
1084,39.99476239,-105.2621935,39.98814111,-105.2481186,8.37,3,3500,1.409063053,136.0662212,106.3103137,29.75590748
1085,39.99476239,-105.2621935,39.98814975,-105.2481609,8.37,3,3500,1.4054827,136.2546079,106.2882197,29.96638822
1086,39.99476239,-105.2621935,39.98815933,-105.2482078,8.37,3,3500,1.401513443,135.1918389,106.2636589,28.92817995
1087,39.99476239,-105.2621935,39.98817102,-105.248265,8.37,3,3500,1.396668153,135.8541868,106.2335835,29.62060327
1088,39.99476239,-105.2621935,39.98818468,-105.2483319,8.37,3,3500,1.391012287,136.0110433,106.1983431,29.81270022
1089,39.99476239,-105.2621935,39.98820026,-105.2484081,8.37,3,3500,1.384561608,136.0143213,106.1579741,29.85634718
1090,39.99476239,-105.2621935,39.98821705,-105.2484903,8.37,3,3500,1.377610304,134.5462533,106.1142613,28.43199196
1091,39.99476239,-105.2621935,39.98823374,-105.248572,8.37,3,3500,1.370710226,136.5680485,106.0706496,30.49739885
1092,39.99476239,-105.2621935,39.98824963,-105.2486498,8.37,3,3500,1.364137653,136.7001239,106.0289018,30.6712221
1093,39.99476239,-105.2621935,39.98826337,-105.2487171,8.37,3,3500,1.358459368,135.8521666,105.9926719,29.85949474
1094,39.99476239,-105.2621935,39.98828296,-105.248813,8.37,3,3500,1.350366795,136.4278088,105.940775,30.48703384
1095,39.99476239,-105.2621935,39.98828858,-105.2488404,8.37,3,3500,1.348049893,134.6692666,105.9258594,28.74340723
