ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,d_3d__km,L_meas__db,L_fs__db,L_excess__db
573,39.991772,-105.274513,39.99002206,-105.2521344,18,3,3500,1.92110302,1.927155204,129.4628237,109.0296947,20.43312897
574,39.991772,-105.274513,39.99009507,-105.2521342,18,3,3500,1.920316752,1.926376039,134.0198471,109.0261822,24.99366486
575,39.991772,-105.274513,39.99017207,-105.2521339,18,3,3500,1.919524152,1.925591011,134.500002,109.0226419,25.47736012
576,39.991772,-105.274513,39.99025008,-105.2521337,18,3,3500,1.918759799,1.924836193,132.9377629,109.0192364,23.91852649
577,39.991772,-105.274513,39.99033008,-105.2521335,18,3,3500,1.918016184,1.924104298,124.9166377,109.0159331,15.90070462
578,39.991772,-105.274513,39.99041008,-105.2521333,18,3,3500,1.917313385,1.923416543,133.3975459,109.0128278,24.38471807
579,39.991772,-105.274513,39.99049209,-105.252133,18,3,3500,1.916635457,1.922751038,132.8558671,109.009822,23.84604512
580,39.991772,-105.274513,39.99057309,-105.2521328,18,3,3500,1.916008111,1.922136831,135.7638554,109.0070469,26.7568085
581,39.991772,-105.274513,39.99065709,-105.2521326,18,3,3500,1.915401878,1.921546639,133.8881772,109.0043795,24.88379771
582,39.991772,-105.274513,39.99074009,-105.2521323,18,3,3500,1.914847338,1.921009318,132.2498555,109.0019503,23.24790519
583,39.991772,-105.274513,39.99082209,-105.2521321,18,3,3500,1.914342889,1.920516234,131.4653104,108.9997205,22.46558986
584,39.991772,-105.274513,39.99090509,-105.2521319,18,3,3500,1.913876293,1.920063297,132.8580963,108.9976718,23.86042449
585,39.991772,-105.274513,39.99098808,-105.2521316,18,3,3500,1.913453936,1.919654723,133.2253767,108.9958233,24.22955338
586,39.991772,-105.274513,39.99107209,-105.2521314,18,3,3500,1.913071572,1.919285692,131.6420257,108.9941534,22.6478723
587,39.991772,-105.274513,39.99124009,-105.2521309,18,3,3500,1.912443116,1.918686611,131.4504825,108.9914418,22.45904071
588,39.991772,-105.274513,39.99132309,-105.2521307,18,3,3500,1.912199724,1.918457306,131.8094081,108.9904037,22.81900444
589,39.991772,-105.274513,39.9914071,-105.2521304,18,3,3500,1.911998588,1.918268112,132.3211066,108.989547,23.33155957
590,39.991772,-105.274513,39.99149209,-105.2521302,18,3,3500,1.911841361,1.918124046,124.6551699,108.9888947,15.66627522
591,39.991772,-105.274513,39.9915751,-105.2521299,18,3,3500,1.911732777,1.918029163,130.2356557,108.988465,21.24719069
592,39.991772,-105.274513,39.9916581,-105.2521297,18,3,3500,1.911668621,1.917978736,132.0314,108.9882366,23.04316335
593,39.991772,-105.274513,39.99174211,-105.2521295,18,3,3500,1.911648931,1.917970743,130.1203638,108.9882004,21.13216335
594,39.991772,-105.274513,39.99182311,-105.2521292,18,3,3500,1.911673044,1.918009723,131.8177834,108.988377,22.82940642
595,39.991772,-105.274513,39.99189712,-105.252129,18,3,3500,1.911732064,1.918079421,129.2057197,108.9886926,20.21702709
596,39.991772,-105.274513,39.99196367,-105.2521265,18,3,3500,1.912015423,1.918372873,130.4451942,108.9900214,21.45517282
597,39.991772,-105.274513,39.99201471,-105.2521243,18,3,3500,1.912275662,1.918641,130.9422003,108.9912353,21.950965
598,39.991772,-105.274513,39.99204995,-105.2521227,18,3,3500,1.91246514,1.918839262,132.111145,108.9921328,23.11901219
599,39.991772,-105.274513,39.99211878,-105.2519515,18,3,3500,1.927224309,1.933559157,129.4670416,109.0585102,20.40853144
600,39.991772,-105.274513,39.9920826,-105.2518017,18,3,3500,1.939938658,1.946224762,125.882643,109.1152208,16.76742224
601,39.991772,-105.274513,39.99205965,-105.2517067,18,3,3500,1.948008626,1.95426414,130.5628546,109.1510261,21.41182846
602,39.991772,-105.274513,39.99203476,-105.2516037,18,3,3500,1.956763567,1.962992585,128.8145744,109.1897341,19.62484033
603,39.991772,-105.274513,39.99200896,-105.2514969,18,3,3500,1.965844197,1.972046717,128.7189609,109.2297049,19.48925603
604,39.991772,-105.274513,39.99198282,-105.2513887,18,3,3500,1.9750486,1.981223976,129.8230577,109.2700324,20.55302531
605,39.991772,-105.274513,39.99193081,-105.2511726,18,3,3500,1.993439345,1.999555913,133.5215472,109.3500319,24.17151526
606,39.991772,-105.274513,39.99190537,-105.2510643,18,3,3500,2.002671405,2.008757331,130.1646594,109.3899104,20.77474902
607,39.991772,-105.274513,39.99187971,-105.2509549,18,3,3500,2.011988445,2.018042673,132.7877857,109.4299678,23.3578179
608,39.991772,-105.274513,39.99185477,-105.2508487,18,3,3500,2.021048205,2.027072257,133.3336537,109.4687455,23.86490822
609,39.991772,-105.274513,39.99182921,-105.2507398,18,3,3500,2.030335499,2.036328989,135.6686121,109.5083198,26.16029234
610,39.991772,-105.274513,39.99177977,-105.2505292,18,3,3500,2.048312687,2.054247924,132.8756033,109.584418,23.29118528
